p;k;rb;coloring
5;2;3;[{0}, {1, 2, 3, 4}]
5;3;4;[{0, 2}, {1, 4}, {3}]
5;4;3;[{0, 2, 3, 4}, {1}]
7;2;4;[{0}, {1, 6}, {2, 3, 4, 5}]
7;3;3;[{0, 2, 3, 4, 5, 6}, {1}]
7;4;4;[{0, 2, 6}, {1}, {3, 4, 5}]
7;5;4;[{0}, {1, 6}, {2, 3, 4, 5}]
7;6;4;[{0, 1, 3, 5}, {2, 6}, {4}]
11;2;4;[{0}, {1, 10}, {2, 3, 4, 5, 6, 7, 8, 9}]
11;3;4;[{0, 1, 4, 7, 8, 9, 10}, {3, 5, 6}, {2}]
11;4;4;[{0, 1, 3, 4, 5, 6, 7, 9, 10}, {8}, {2}]
11;5;4;[{0, 2, 3, 4, 5, 7, 8, 10}, {1, 9}, {6}]
11;6;4;[{0, 10, 5}, {1, 2, 3, 4, 7, 8, 9}, {6}]
11;7;4;[{0, 3, 4, 6, 8, 9, 10}, {1, 2, 7}, {5}]
11;8;4;[{0}, {1, 10}, {2, 3, 4, 5, 6, 7, 8, 9}]
11;9;4;[{0}, {1, 10}, {2, 3, 4, 5, 6, 7, 8, 9}]
11;10;5;[{0, 1, 3, 5, 7, 9}, {2, 10}, {6}, {8, 4}]
13;2;4;[{0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12}, {6}, {5}]
13;3;4;[{0, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12}, {6}, {4}]
13;4;4;[{0, 2, 3, 4, 5, 6, 9, 10, 11, 12}, {8, 1}, {7}]
13;5;4;[{0}, {1, 3, 4, 9, 10, 12}, {2, 5, 6, 7, 8, 11}]
13;6;4;[{0, 1, 2, 4, 5, 7, 10, 11, 12}, {9, 3}, {8, 6}]
13;7;4;[{0, 1, 3, 4, 7, 8, 9, 10, 11, 12}, {2, 6}, {5}]
13;8;4;[{0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12}, {8}, {7}]
13;9;4;[{0}, {1, 3, 4, 9, 10, 12}, {2, 5, 6, 7, 8, 11}]
13;10;4;[{0}, {1, 4, 5, 6, 7, 8, 9, 12}, {10, 11, 2, 3}]
13;11;4;[{0, 1, 2, 6, 7, 8, 9, 10, 11, 12}, {5}, {3, 4}]
13;12;5;[{0, 1, 2, 4, 6, 8, 10, 12}, {11, 3}, {9, 5}, {7}]
